date,username,fulltext
2022-03-08 13:42:48,sbyfess,"-rek pengguna kacamata, selama kalian menggunakan kacamata trus mata kalian ditutup salah satu, bisa ngelihat jelas semua gak? Soalnya minusku lebih besar kiri, pas pakek kacamata trus mata kanan aku tutup, mata kiriku masih gk jelas ngelihatnya. Apa gara2 dokternya  (cont..)"
2022-03-08 13:36:22,miuuw21,RT @HuruHaraAladin: Kalian mesra mesraan apa gak kasian itu sm susternya di belakang ud menahan diri untuk tetap berdiri tegak melawan ke m…
2022-03-08 13:34:37,temankyungs,"@_weareoneot9 kalo udah lama ke dokter aja kakk, gppa kokk dokternya pasti juga biasa, takut ada apa"" trs biar ga khawatir juga"
2022-03-08 13:33:11,islandvibes___,@collegemenfess ehh ini udah selesai? dokternya ke mana tadi?
2022-03-08 13:32:45,StopPlandemit,"RT @BjbKemuning: @mas_prasetiyo @StopPlandemit WHO, lembaga kesehatan international tertinggi, apapun katanya, maka hampir semua negara yg…"
2022-03-08 13:32:27,BjbKemuning,"@mas_prasetiyo @StopPlandemit WHO, lembaga kesehatan international tertinggi, apapun katanya, maka hampir semua negara yg bergerak di Instansi Kesehatan manut terus, sepintar apapun dokternya ok terus, sehingga masyarakat awam ikut kena dampaknya.... Fuck buat dokter2 bodoh yg mau ikutin WHO"
2022-03-08 13:32:21,sayamelisa97,RT @HuruHaraAladin: Kalian mesra mesraan apa gak kasian itu sm susternya di belakang ud menahan diri untuk tetap berdiri tegak melawan ke m…
2022-03-08 13:32:08,Tipank3,@mamadarling2021 seketika pngn jdi susternya biar lbh jelas liatnya😳😳
2022-03-08 13:30:55,Agnita_kristi,"Pak, udah ga sungkan nyium depan org ? 😛Kasian itu susternya zomblo 😁
#ikatancinta #IkatanCintaEp646 https://t.co/sDuqzW0P4d"
2022-03-08 13:30:37,liskenhsitorus,@Ida_Farianda @ed_tirta Mudah2an dokternya ganteng dan bagus ngobatin buat pelipur lara 😁
2022-03-08 13:30:34,HuruHaraAladin,Kalian mesra mesraan apa gak kasian itu sm susternya di belakang ud menahan diri untuk tetap berdiri tegak melawan ke mleyotan ini? 😌 https://t.co/GC6ANpcUZB
2022-03-08 13:28:47,ksooinc,Rajin periksa gigi kalo dokternya seperti ini sih 😍😍😍😩😩😩😩 https://t.co/NnWflpZgvf
2022-03-08 13:28:05,akangitachi2,"@dekutroits aku pernah protes ke dokternya katanya ""gapapa biar seru aja"" ?????? nanges"
2022-03-08 13:27:24,missAyuLisa,"@elL_Icha Eneg liat susternya, lagi2 itu"
2022-03-08 13:27:04,heyy_itsm,Susternya ga ramah bintang 1 #IkatanCintaEp646
2022-03-08 13:26:53,diayangberjuang,Susternya takut Aldebaran nyusruk ke Andin 🤣🤣🤣
2022-03-08 13:26:26,elL_Icha,"Susternya ga ramah yee. Wkwk

#IkatanCinta"
2022-03-08 13:25:58,bagaimana_ini,"Susternya:
Haaaah lama deh 🤣🤣 #IkatanCintaEp646"
2022-03-08 13:25:05,missAyuLisa,Susternya nggak ada yang gantiin y?#IkatanCinta
2022-03-08 13:24:38,liskenhsitorus,@ed_tirta @Ida_Farianda Tinggalkan dokternya 😁
2022-03-08 13:23:42,EMP97CHAEYEON,Pagi ini tidak ada yang terbunuh oleh ww karena dokternya pinter nyelametin orang yang tepat!!!
2022-03-08 13:23:36,pcrpcyy,cari booster vaksin yg dokternya kaya gini dimana ya? 🤔😌 https://t.co/CVX7vuiv09
2022-03-08 13:22:58,novitakei,"👸 kayanya aku keluar kamis yaa ini pak
👨 kayanya engga, kan kemaren dokternya bilang dua tiga hari. Yaaa sek lama

Memang jokesnya bapak2 tydac ada duanya😂😂😂😂"
2022-03-08 13:21:41,nuridaaa13,"RT @asaibrahim: Eh misal nih km ngotot bgt sama dokternya, pokoknya pgn manjangin kaki, and then dokternya mau, belum tentu akan berhasil j…"
2022-03-08 13:20:50,r41975,info klinik yg dokternya sejenis ahn jeong-won dong
2022-03-08 13:17:06,taeforeheaddict,ini dokternya ngasih gue obat apa ya kenapa gue keringetan mulu dari pagi? padahal lagi dingin wkwkw
2022-03-08 13:11:34,nadyaodynstn,@kubiarkankosong Oia betul yg dokternya di tusuk ya?
2022-03-08 13:11:25,Amaris544572201,@ikatrambutandin Banyak ternyata dokternya..
2022-03-08 13:09:28,kyuu_23,@Reeireirin ...bayangin cuma batuk pilek terus dokternya gitu...
2022-03-08 13:08:19,qoungeun,BELUM HABIS KAN DOKTERNYA… https://t.co/kse2ycUYPV
2022-03-08 13:03:43,seriussedunia,"Dokternya pengertian ku tak bisa tidur miring"" 🥲🥲🥲🥲 

""nggak papa telentang. Nt kalo uda makin gede baru miring krna susah kan"""
2022-03-08 13:01:58,kikiflurane,"'Ga ada pasien yang keadaannya ""tiba-tiba"". Tiba2 perburukan, tiba2 ini itu. Berarti dokternya yang nggak care'
Membekas banget ni perkataan beliauu"
2022-03-08 13:01:05,naduljimayo,@sungjinlyfe gue mau nginep di ruang dokternya sekalian juga gapapa banget si chi🧎‍♀️🙏🙏
2022-03-08 12:56:14,kyuu_23,"@Reeireirin .....dokternya serem sekali ya :""D"
2022-03-08 12:55:24,naduljimayo,kalo dokternya kaya gini gue mau check up tiap hari dah https://t.co/lgjekiMpWf
2022-03-08 12:53:44,fikrhmn,"@coIdflowers iya antrenya bisa lama, terutama kalau lagi rame. tapi kalau pas antriannya ga banyak ya cepet2 aja. bedanya dia bayar langsung ga perlu nunggu lagi kek di vetsatwa. dokternya sabar banget udah senior, suka ngejelasin."
2022-03-08 12:48:27,mofabulouss,"liat toktoknya drh, gemes sendiri liat hewan uwu2. ada monyet gak mau makan, sama dokternya diajak ngobrol sambil dipegangin tangannya, eh akhirnya mau makan ☺️😍"
2022-03-08 12:45:22,1945_ilham,Dokternya minta maaf soalnya abis lebaran https://t.co/IBiL1cqq69
2022-03-08 12:36:06,Lyyizt,@XbackINA @layzhang @lay_studio Klo dokternya kyak gini kyaknya aku gk jadi takut rumah sakit 🙂
2022-03-08 12:34:23,croenffl,DOKTERNYA KECE. MAAF TD PADA NGEROASTING (gua sih engga) https://t.co/cl4vvqkm1W
2022-03-08 12:32:23,suminbaae,KEREN POL DOKTERNYA https://t.co/GimMjeCJIy
2022-03-08 12:32:15,zrknva,@K4ZZUHA @reiitowett gua inih dokternya
2022-03-08 12:28:36,kthbear3O,"@raissarenata Maap ikutan nimbrung ga nya ren 🥺 kali aja kn berjodoh hehe. Maap klo ketidaktauan diri ini, pen parfum ini dri 2 bln lalu to blm kebeli krna gaji dan jasa blm turun 😅 biar pasien bisa cium klo dokternya wangi gk bau keringat 🥲 https://t.co/lOE13w1SBK"
2022-03-08 12:23:37,yourvanillamilk,"Memutuskan tanya dokter, akhirnya tidak jadi saya minum... Dokternya pun Tidak menyarankan..."
2022-03-08 12:21:42,feitapm,Masih mending dokternya minta maaf. https://t.co/EVcKmST17Q
2022-03-08 12:21:32,Rorilayway,"@bbyxzhng Gua gapernah sakit gigi, tapi kalau lay dokternya gua usahain gimana pun biar gua bisa sakit gigi"
2022-03-08 12:21:17,bluemini_,"@jxxaeyvn HSGGSHAHZ, NANTI GW MAU KE RUMAH SAKIT MINTA OKSIGEN, TRS SEKALIAN MINTA DOKTERNYA JOROKIN KIM TAEYOUNG"
2022-03-08 12:19:47,annkimjd,"Kalo dokternya model begini, saya sih betah di RS lama-lama https://t.co/aWpkZnjsyw"
2022-03-08 12:17:45,coIdflowers,@fikrhmn iya gue baca review di google juga bagus2. trus tadi mau ke sana awalnya 😞 eh opening hours-nya yang kurang cocok. di dia gimana fik? antre lama ga? trus dokternya sabar ga?
2022-03-08 12:16:38,fihgura,dokternya sampe kaget w demam dr februari baru periksa skrg WKWKWK
2022-03-08 12:16:28,fikrhmn,"@coIdflowers ke drh yosep sutarji aja mal. gue kesitu terus. dokternya super oke. cons-nya kalau weekday dia cuma praktek 1-4, weekend sabtu doang, buka jam 10"
2022-03-08 12:15:38,odanxdinxdonx,"Udah ujan-ujanan, macet-macetan jauh-jauh ke RS eh dokternya ga praktek karena prakteknya hari rabu, kirain sekarang hr rabu, dasar bego."
